Dataset,Frame,Synthesized.View,p1,p2,p3
OrangeKitchen,54,13,2,0,0
OrangeKitchen,54,15,2,0,0
OrangeKitchen,54,16,2,0,0
OrangeKitchen,54,17,2,0,0
OrangeKitchen,54,18,2,0,0
OrangeKitchen,54,19,2,0,0
OrangeKitchen,54,20,2,0,0
OrangeKitchen,54,21,2,0,0
OrangeKitchen,54,23,2,0,0
OrangeKitchen,72,01,2,0,0
OrangeKitchen,72,03,2,0,0
OrangeKitchen,72,04,2,0,0
OrangeKitchen,72,05,2,0,0
OrangeKitchen,72,06,2,0,0
OrangeKitchen,72,07,2,0,0
OrangeKitchen,72,08,2,0,0
OrangeKitchen,72,09,2,0,0
OrangeKitchen,72,11,2,0,0
OrangeKitchen,72,13,2,0,0
OrangeKitchen,72,15,2,0,0
OrangeKitchen,72,16,2,0,0
OrangeKitchen,72,17,2,0,0
OrangeKitchen,72,18,2,0,0
OrangeKitchen,72,19,2,0,0
OrangeKitchen,72,20,2,0,0
OrangeKitchen,72,21,2,0,0
OrangeKitchen,72,23,2,0,0
PoznanFencing,40,03,1,0,0
PoznanFencing,40,05,1,0,0
PoznanFencing,40,09,1,0,0
PoznanFencing,80,03,1,0,0
PoznanFencing,80,05,1,0,0
PoznanFencing,80,09,1,0,0
PoznanFencing,120,03,1,0,0
PoznanFencing,120,05,1,0,0
PoznanFencing,120,09,1,0,0
PoznanFencing,160,03,1,0,0
PoznanFencing,160,05,1,0,0
PoznanFencing,160,09,1,0,0
PoznanFencing,200,03,1,0,0
PoznanFencing,200,05,1,0,0
PoznanFencing,200,09,1,0,0
PoznanStreet,40,3,2,0,0
PoznanStreet,40,5,2,0,0
PoznanStreet,80,3,2,0,0
PoznanStreet,80,5,2,0,0
PoznanStreet,120,3,2,0,0
PoznanStreet,120,5,2,0,0
PoznanStreet,160,3,2,0,0
PoznanStreet,160,5,2,0,0
PoznanStreet,200,3,2,0,0
PoznanStreet,200,5,2,0,0
TechnicolorPainter,50,1,2,0,0
TechnicolorPainter,50,2,2,0,0
TechnicolorPainter,50,4,2,0,0
TechnicolorPainter,50,6,2,0,0
TechnicolorPainter,50,7,2,0,0
TechnicolorPainter,50,8,2,0,0
TechnicolorPainter,50,11,2,0,0
TechnicolorPainter,50,13,2,0,0
TechnicolorPainter,50,14,2,0,0
TechnicolorPainter,100,1,2,0,0
TechnicolorPainter,100,2,2,0,0
TechnicolorPainter,100,4,2,0,0
TechnicolorPainter,100,6,2,0,0
TechnicolorPainter,100,7,2,0,0
TechnicolorPainter,100,8,2,0,0
TechnicolorPainter,100,11,2,0,0
TechnicolorPainter,100,13,2,0,0
TechnicolorPainter,100,14,2,0,0
TechnicolorPainter,150,1,2,0,0
TechnicolorPainter,150,2,2,0,0
TechnicolorPainter,150,4,2,0,0
TechnicolorPainter,150,6,2,0,0
TechnicolorPainter,150,7,2,0,0
TechnicolorPainter,150,8,2,0,0
TechnicolorPainter,150,11,2,0,0
TechnicolorPainter,150,13,2,0,0
TechnicolorPainter,150,14,2,0,0
TechnicolorPainter,200,1,2,0,0
TechnicolorPainter,200,2,2,0,0
TechnicolorPainter,200,4,2,0,0
TechnicolorPainter,200,6,2,0,0
TechnicolorPainter,200,7,2,0,0
TechnicolorPainter,200,8,2,0,0
TechnicolorPainter,200,11,2,0,0
TechnicolorPainter,200,13,2,0,0
TechnicolorPainter,200,14,2,0,0
TechnicolorPainter,250,1,2,0,0
TechnicolorPainter,250,2,2,0,0
TechnicolorPainter,250,4,2,0,0
TechnicolorPainter,250,6,2,0,0
TechnicolorPainter,250,7,2,0,0
TechnicolorPainter,250,8,2,0,0
TechnicolorPainter,250,11,2,0,0
TechnicolorPainter,250,13,2,0,0
TechnicolorPainter,250,14,2,0,0
PoznanCarpark,40,3,1,0,0
PoznanCarpark,40,5,1,0,0
PoznanCarpark,80,3,1,0,0
PoznanCarpark,80,5,1,0,0
PoznanCarpark,120,3,1,0,0
PoznanCarpark,120,5,1,0,0
PoznanCarpark,160,3,1,0,0
PoznanCarpark,160,5,1,0,0
PoznanCarpark,200,3,1,0,0
PoznanCarpark,200,5,1,0,0
PoznanHall,80,3,1,0,0
PoznanHall,80,5,1,0,0
PoznanHall,160,3,1,0,0
PoznanHall,160,5,1,0,0
PoznanHall,240,3,1,0,0
PoznanHall,240,5,1,0,0
PoznanHall,320,3,1,0,0
PoznanHall,320,5,1,0,0
PoznanHall,400,3,1,0,0
PoznanHall,400,5,1,0,0
